id,personal_id
0,F
1,F
2,B
3,D
4,A
5,E
6,D
7,A
8,D
9,C
10,D
11,F
12,D
13,C
14,B
15,A
16,A
17,B
18,F
19,A
20,D
21,A
22,E
23,A
24,F
25,E
26,A
27,B
28,A
29,E
30,A
31,B
32,A
33,B
34,B
35,A
36,B
37,F
38,E
39,A
40,E
41,B
42,E
43,F
44,D
45,B
46,D
47,D
48,E
49,D
50,A
51,A
52,C
53,E
54,B
55,B
56,A
57,C
58,C
59,A
60,D
61,D
62,A
63,C
64,B
65,A
66,F
67,F
68,F
69,A
70,D
71,D
72,F
73,D
74,F
75,B
76,F
77,D
78,E
79,E
80,E
81,D
82,C
83,B
84,F
85,D
86,B
87,D
88,D
89,A
90,E
91,C
92,E
93,D
94,F
95,A
96,D
97,A
98,B
99,F
100,F
101,D
102,E
103,C
104,F
105,A
106,D
107,C
108,F
109,A
110,B
111,B
112,E
113,A
114,C
115,D
116,C
117,F
118,E
119,C
